Frame,X,Y,Visibility,L,Theta
130,860,342,1,12.995900005102158,21.18082937767767
131,807,322,1,11.232572048902512,19.418121722369285
132,751,308,1,12.846722483634949,11.44439930059544
133,702,302,1,10.145863071084023,5.511641669876728
134,654,302,1,9.589785013347864,-4.6068060103735995
135,611,306,1,9.774508334696293,-9.022348601381644
136,611,306,1,9.804488077759743,-11.183781509972201
137,565,298,1,12.61262658238411,31.80858506670046
138,519,272,1,10.545387178659439,30.279687701714057
139,0,0,0,-inf,-inf
140,442,242,1,1.3763819336891174,31.717474411461005
141,0,0,0,-inf,-inf
142,0,0,0,-inf,-inf
143,0,0,0,-inf,-inf
